NOI307.7,GPA.162,RC0.20,RC270.49,XR0.21,XR270.53,RCAA-1.08,XR+-1.08,RCWIN-0.12,XRWIN-0.12,BABIP.273
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,6.50,0.000,-,0.000,0.273,-,15.4%,
