NOI250.0,GPA.113,RC0.20,RC271.33,XR0.55,XR273.74,RCAA-0.29,XR+0.06,RCWIN-0.03,XRWIN0.01,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.50,0.250,5.00,2.50,0.000,-,0.500,0.500,-,60.0%,
