球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,522,38.9%,148.1,37,92,113,158,46.4%,13.6%,.300,150,45,2,28,9,1
スライダー,237,17.7%,132.4,51,25,44,84,50.6%,39.8%,.188,48,9,2,15,9,0
フォーク,149,11.1%,135.6,38,6,23,60,45.0%,45.8%,.206,34,7,0,13,2,0
カットボール,138,10.3%,139.3,22,12,31,43,47.1%,26.5%,.355,31,11,4,1,2,1
カーブ,77,5.7%,117.9,11,18,10,23,50.6%,30.6%,.176,17,3,0,2,0,1
チェンジアップ,77,5.7%,129.4,16,6,10,30,41.6%,39.0%,.250,20,5,0,5,2,0
ツーシーム,50,3.7%,141.3,2,5,6,21,26.0%,8.3%,.118,17,2,0,1,2,0
スプリット,30,2.2%,139.4,5,1,10,9,53.3%,25.0%,.375,8,3,0,3,0,0
シュート,20,1.5%,142.0,0,3,4,10,35.0%,0.0%,.667,3,2,0,0,0,0
シンカー,17,1.3%,133.1,0,2,7,4,52.9%,0.0%,.500,4,2,0,0,0,0
縦スライダー,15,1.1%,132.4,5,1,4,4,66.7%,50.0%,.500,2,1,0,1,0,0
スローカーブ,2,0.1%,89.0,0,0,0,0,0.0%,0.0%,.500,2,1,0,0,0,0
パワーカーブ,2,0.1%,119.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
ナックルカーブ,2,0.1%,126.5,1,0,0,1,50.0%,100.0%,.000,1,0,0,1,0,0
高速スライダー,2,0.1%,138.0,0,0,0,0,0.0%,0.0%,.000,2,0,0,0,0,0
パーム,1,0.1%,108.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
