左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
47.8% (128),47.8% (128),47.8% (128),20.1% (54),20.1% (54),20.1% (54),32.1% (86),32.1% (86),32.1% (86)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
47.0% (39),100.0% (8),45.8% (81),27.7% (23),0.0% (0),17.5% (31),25.3% (21),0.0% (0),36.7% (65)
