NOI457.9,GPA.246,RC44.10,RC274.69,XR43.25,XR274.60,RCAA7.77,XR+6.50,RCWIN0.90,XRWIN0.75,BABIP.317
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.37,0.057,14.19,5.27,0.130,42.38,0.206,0.648,1.78,28.2%,
