条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.265,156,132,35,6,0,3,3,25,22,2,0,0,0.378
1塁,0.353,74,68,24,5,1,5,12,8,6,0,0,0,0.405
2塁,0.375,25,16,6,2,0,1,5,2,9,0,0,0,0.6
3塁,0.333,13,9,3,1,0,0,5,1,3,0,0,1,0.462
1・2塁,0.214,18,14,3,2,0,0,5,3,4,0,0,0,0.389
1・3塁,0.286,10,7,2,0,0,0,3,1,2,0,0,1,0.4
2・3塁,0.25,5,4,1,0,0,0,1,1,1,0,0,0,0.4
満塁,0.5,6,6,3,1,0,1,7,2,0,0,0,0,0.5
得点圏,0.321,77,56,18,6,0,2,26,10,19,0,0,2,0.481
