連続項目,フラグ (現状値 / 最高値)
得点,1試合 / 5試合
安打,3試合 / 13試合
無安打,0試合 / 4試合
打点,1試合 / 6試合
本塁打,0試合 / 3試合
出塁,3試合 / 20試合
