球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,247,36.6%,146.6,7,45,67,64,48.2%,5.1%,.275,69,19,1,5,6,2
スライダー,128,19.0%,129.2,12,24,21,42,44.5%,19.4%,.161,31,5,2,4,0,0
チェンジアップ,59,8.7%,126.7,9,3,11,18,39.0%,23.7%,.250,20,5,1,2,0,0
カットボール,55,8.1%,136.2,5,11,13,16,52.7%,17.9%,.200,10,2,0,0,1,1
ツーシーム,50,7.4%,139.8,3,9,11,12,46.0%,10.3%,.250,16,4,0,1,0,0
フォーク,47,7.0%,136.3,11,0,8,21,40.4%,42.3%,.444,9,4,0,2,0,0
シュート,36,5.3%,144.5,2,5,10,8,47.2%,8.7%,.300,10,3,0,0,1,0
カーブ,23,3.4%,112.7,0,7,2,14,39.1%,0.0%,-,0,0,0,0,0,0
スプリット,9,1.3%,137.9,1,1,2,3,44.4%,20.0%,.000,3,0,0,1,0,0
ナックルカーブ,6,0.9%,129.6,1,1,0,2,33.3%,33.3%,.333,3,1,0,1,0,0
パワーカーブ,4,0.6%,129.7,0,1,0,2,25.0%,0.0%,.000,1,0,0,0,0,0
縦スライダー,3,0.4%,130.7,0,0,1,1,33.3%,0.0%,1.000,1,1,0,0,0,0
パーム,3,0.4%,115.0,0,0,2,0,66.7%,0.0%,.000,1,0,0,0,0,0
シンカー,2,0.3%,136.5,1,0,0,1,50.0%,100.0%,.000,1,0,0,1,0,0
スクリュー,2,0.3%,132.5,0,0,0,1,0.0%,0.0%,.000,1,0,0,0,0,0
高速スライダー,1,0.1%,138.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
