NOI408.7,GPA.219,RC15.92,RC272.99,XR16.84,XR273.16,RCAA-2.23,XR+-1.41,RCWIN-0.26,XRWIN-0.17,BABIP.253
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.043,21.22,11.24,0.097,44.00,0.148,0.518,1.60,15.7%,
