打率.250,試合77,打席191,打数176,得点19,安打44,内安3,内安率6.8,２Ｂ5,３Ｂ0,本塁4,HR勝敗4-0-0,塁打61,打点18,三振17
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
9,1,3,0,3,1,1,50.0,3,1,8,.297,.293,.347,.640
