球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
シュート,31,39.7%,141.2,2,7,7,7,51.6%,11.8%,.250,8,2,0,1,1,0
スライダー,26,33.3%,133.8,0,6,2,12,30.8%,0.0%,.667,6,4,0,0,1,0
チェンジアップ,17,21.8%,132.9,2,1,3,7,35.3%,22.2%,.200,5,1,0,1,0,0
カーブ,3,3.8%,120.7,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
ストレート,1,1.3%,-,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
