HQS率0.0%,SQS率0.0%,被打率.350,被BABIP.389,被出塁率.409,被長打率.500,K/BB1.00,K/93.86,BB/93.86,HR/90.00,GO/AO1.75,援護率0.00,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.20,66.7%,-1.31,-0.15,-1.46,14,0.0,4,0,0.0,0,0,0,
