防御率2.48,試合13,先発13,救援0,連投(試)0,連投(日)0,勝利3,敗戦5,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.375,76.1,316,1265,16.6,63,4,77,27,1,1,6,0,24,21,1.18,61.5%
