アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,45,29.2%,安打,58,67.4%
フライ,44,28.6%,四死球,28,32.6%
空三振,52,33.8%,失策出塁,0,0.0%
見三振,13,8.4%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
