NOI51.3,GPA.027,RC-2.04,RC27-2.04,XR-1.80,XR27-1.80,RCAA-4.70,XR+-4.47,RCWIN-0.55,XRWIN-0.53,BABIP.100
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,1.75,-0.000,-,0.000,0.040,-,57.1%,
