NOI434.4,GPA.227,RC41.25,RC273.74,XR42.47,XR273.85,RCAA-1.18,XR+-0.46,RCWIN-0.14,XRWIN-0.05,BABIP.265
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
1.04,0.090,8.62,8.98,0.073,123.67,0.205,0.576,1.50,23.4%,
