左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
35.2% (113),35.2% (113),35.2% (113),21.8% (70),21.8% (70),21.8% (70),43.0% (138),43.0% (138),43.0% (138)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
24.4% (21),0.0% (0),39.7% (92),31.4% (27),0.0% (0),18.5% (43),44.2% (38),100.0% (3),41.8% (97)
