HQS率0.0%,SQS率0.0%,被打率.370,被BABIP.459,被出塁率.442,被長打率.500,K/BB1.50,K/98.10,BB/95.40,HR/90.00,GO/AO1.50,援護率0.00,IPR1.58,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.74,43.5%,-9.28,-1.07,-8.62,30,5.0,5,0,6.1,4,1,2,
