HQS率-,SQS率-,被打率.268,被BABIP.304,被出塁率.369,被長打率.362,K/BB1.14,K/95.45,BB/94.76,HR/90.45,GO/AO0.70,援護率-,IPR2.64,NHB%23.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.88,80.4%,-0.60,-0.07,-1.90,229,8.2,0,0,39.2,15,10,32,
