HQS率16.7%,SQS率16.7%,被打率.260,被BABIP.316,被出塁率.313,被長打率.346,K/BB3.07,K/97.61,BB/92.48,HR/90.62,GO/AO1.34,援護率2.52,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.86,72.2%,-7.09,-0.84,-6.42,345,0.0,107,30,0.0,0,0,0,
