球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,727,40.7%,148.4,46,171,148,215,50.2%,13.5%,0.256,164,42,1,25,18,0
カットボール,394,22.1%,139.2,66,74,102,84,61.4%,28.0%,0.259,85,22,2,21,6,2
チェンジアップ,244,13.7%,136.8,41,9,30,125,32.8%,37.3%,0.196,56,11,0,17,2,0
ナックルカーブ,219,12.3%,127.2,23,45,30,93,44.7%,28.4%,0.333,39,13,1,11,1,1
スライダー,104,5.8%,130.2,12,17,13,47,40.4%,30.0%,0.208,24,5,2,9,0,0
ツーシーム,97,5.4%,148.0,5,10,24,36,40.2%,9.8%,0.36,25,9,1,3,0,0
