条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.286,10,7,2,0,0,0,2,2,1,0,0
対左打者,0.333,13,12,4,1,0,1,3,1,0,0,0
