NOI0.0,GPA.000,RC-0.37,RC27-1.98,XR-0.33,XR27-1.77,RCAA-0.86,XR+-0.83,RCWIN-0.10,XRWIN-0.10,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,5.00,0.000,-,0.000,0.000,-,20.0%,
