球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,72,34.8%,148.1,8,6,21,24,48.6%,19.0%,.278,18,5,1,5,0,0
フォーク,34,16.4%,133.9,11,2,8,10,61.8%,50.0%,.143,7,1,0,4,0,0
スライダー,27,13.0%,130.0,8,6,1,8,55.6%,61.5%,.167,6,1,0,2,0,0
カーブ,16,7.7%,113.9,1,3,2,7,37.5%,16.7%,.000,4,0,0,1,0,0
スプリット,15,7.2%,143.7,4,2,1,5,46.7%,50.0%,.167,6,1,0,3,0,0
チェンジアップ,14,6.8%,133.5,6,2,0,5,57.1%,85.7%,.250,4,1,1,3,0,0
ツーシーム,12,5.8%,145.7,4,1,1,5,50.0%,66.7%,.000,1,0,0,0,0,0
カットボール,9,4.3%,139.8,2,1,3,2,66.7%,33.3%,.000,1,0,0,0,0,0
ナックルカーブ,3,1.4%,124.0,0,1,0,1,33.3%,0.0%,.000,1,0,0,0,0,0
シュート,3,1.4%,146.5,0,0,2,1,66.7%,0.0%,-,0,0,0,0,0,0
縦スライダー,1,0.5%,124.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
シンカー,1,0.5%,130.0,1,0,0,0,100.0%,100.0%,-,0,0,0,0,0,0
