NOI444.4,GPA.233,RC0.51,RC276.93,XR0.48,XR276.53,RCAA0.23,XR+0.20,RCWIN0.03,XRWIN0.02,BABIP1.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.50,0.000,-,0.333,1.000,0.00,66.7%,
