NOI328.9,GPA.173,RC2.31,RC271.39,XR2.67,XR271.60,RCAA-3.11,XR+-2.77,RCWIN-0.37,XRWIN-0.33,BABIP.229
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.073,14.25,3.56,0.077,52.00,0.135,0.378,0.00,36.8%,
