条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,.074,31,27,2,1,0,0,0,6,4,0,0,0,.194
1塁,.462,13,13,6,0,0,1,2,2,0,0,0,0,.462
2塁,.000,4,4,0,0,0,0,0,4,0,0,0,0,.000
3塁,1.000,2,1,1,0,0,0,1,0,0,1,0,0,1.000
1・2塁,.000,3,3,0,0,0,0,0,1,0,0,0,0,.000
1・3塁,.000,1,1,0,0,0,0,0,0,0,0,0,0,.000
2・3塁,-,0,0,0,0,0,0,0,0,0,0,0,0,-
満塁,.000,3,3,0,0,0,0,0,3,0,0,0,0,.000
得点圏,.083,13,12,1,0,0,0,1,8,0,1,0,0,.154
