HQS率16.7%,SQS率16.7%,被打率.228,被BABIP.256,被出塁率.333,被長打率.293,K/BB0.93,K/94.50,BB/94.85,HR/90.00,GO/AO0.90,援護率1.29,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.58,73.0%,-0.34,-0.04,-0.22,88,0.0,28,4,0.0,0,0,0,
