条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.132,47,38,5,2,0,0,5,5,1,2,1
対左打者,0.296,66,54,16,2,1,0,8,9,1,0,2
