HQS率12.5%,SQS率25.0%,被打率.230,被BABIP.275,被出塁率.299,被長打率.342,K/BB2.47,K/97.57,BB/93.07,HR/90.82,GO/AO0.61,援護率6.20,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.33,88.6%,5.35,0.62,3.86,182,0.0,45,31,0.0,0,0,0,
