条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.226,96,84,19,4,0,2,22,10,1,1,0
対左打者,0.234,82,77,18,0,1,2,15,5,0,0,0
