NOI181.4,GPA.096,RC-0.16,RC27-0.10,XR0.01,XR270.00,RCAA-4.82,XR+-4.67,RCWIN-0.57,XRWIN-0.55,BABIP.235
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.05,0.024,49.00,2.58,0.028,-,0.056,0.188,-,40.8%,
