左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
44.5% (138),44.5% (138),44.5% (138),24.8% (77),24.8% (77),24.8% (77),30.6% (95),30.6% (95),30.6% (95)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
45.3% (43),85.7% (6),42.8% (89),35.8% (34),0.0% (0),20.7% (43),18.9% (18),14.3% (1),36.5% (76)
