打席数,打数,安打,打率,本塁,三振,四死,犠打,犠飛,出塁率
1打席目,91,29,0.319,3,18,7,2,0,0.367
2打席目,90,26,0.289,2,17,9,1,0,0.354
3打席目,86,21,0.244,0,17,11,2,1,0.327
4打席目,86,19,0.221,0,23,3,1,1,0.244
5打席目以上,42,6,0.143,2,15,8,2,1,0.275
