打率.254,試合118,打席453,打数402,得点43,安打102,内安12,内安率11.8,２Ｂ15,３Ｂ1,本塁7,HR勝敗4-2-1,塁打140,打点34,三振90
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
39,0,0,8,4,9,7,56.3,8,0,9,.286,.317,.348,.665
