球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,812,43.5%,147.6,70,141,188,251,49.1%,16.7%,.260,181,47,5,30,18,0
スライダー,266,14.3%,130.9,41,53,30,103,46.6%,37.3%,.193,57,11,0,18,5,0
カットボール,195,10.5%,137.5,21,32,32,69,43.6%,22.3%,.152,46,7,0,6,3,0
フォーク,163,8.7%,135.7,34,10,34,67,47.9%,39.5%,.333,33,11,1,15,4,0
チェンジアップ,100,5.4%,127.0,14,19,18,36,51.0%,31.1%,.350,20,7,0,7,2,0
カーブ,99,5.3%,116.9,8,20,12,43,40.4%,22.2%,.300,20,6,1,4,0,0
ツーシーム,75,4.0%,141.4,2,16,12,33,40.0%,7.7%,.143,14,2,0,2,3,0
スプリット,62,3.3%,138.5,9,9,9,22,43.5%,29.0%,.438,16,7,0,3,2,0
パワーカーブ,21,1.1%,122.5,3,7,1,10,52.4%,75.0%,.000,4,0,0,4,0,0
シュート,20,1.1%,140.7,0,5,4,7,45.0%,0.0%,.000,4,0,0,0,0,0
縦スライダー,18,1.0%,132.1,0,4,3,9,38.9%,0.0%,.500,2,1,0,0,1,0
ナックルカーブ,16,0.9%,125.1,1,5,2,5,50.0%,16.7%,.667,3,2,0,0,0,0
シンカー,11,0.6%,132.5,2,4,1,3,63.6%,50.0%,.500,2,1,0,1,1,0
ワンシーム,3,0.2%,140.7,0,1,2,0,100.0%,0.0%,-,0,0,0,0,0,0
高速スライダー,3,0.2%,142.0,0,0,0,3,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,2,0.1%,98.5,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
