条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,0,2,2,4,0,3,0,0,0,0,11
敗戦,4,0,1,0,0,3,1,0,0,0,0,0,9
勝敗無,3,0,1,2,4,3,4,3,0,0,0,0,20
