防御率2.39,試合23,先発22,救援1,連投(試)1,連投(日)1,勝利7,敗戦3,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.700,150.1,615,2403,16.0,135,6,165,30,0,6,3,0,41,40,1.10,81.8%
