種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.54,7,6,1,2,1,0,0,0,0,0,0,39.0,38,0,38,13,2,12,11,1.31,0.248,4.95,2.00
Nighter,2.34,16,16,0,5,2,0,0,0,0,0,0,111.1,97,6,127,17,4,29,29,1.02,0.232,3.81,-
