チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
日本ハム,0.0,6,0,6,0,0,2,0,2,0,0,0,5.1,1,0,9,2,0,0,0,0.56,0.056,-,99.0
ロッテ,5.68,7,0,7,0,0,0,0,0,0,0,0,6.1,8,2,8,4,0,4,4,1.89,0.308,-,1.58
楽天,3.38,6,0,6,0,0,1,0,1,0,0,0,5.1,5,0,4,2,0,2,2,1.31,0.238,-,2.67
オリックス,3.0,8,0,8,0,0,1,0,1,0,0,0,9.0,8,2,11,2,0,6,3,1.11,0.229,-,1.5
西武,4.76,7,0,7,1,0,0,0,1,1,1,0,5.2,8,2,5,0,0,3,3,1.41,0.333,-,1.89
