条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.27,81,74,20,5,0,5,20,5,0,1,1
対左打者,0.246,73,65,16,2,0,2,21,7,0,0,1
