HQS率-,SQS率-,被打率.252,被BABIP.294,被出塁率.332,被長打率.374,K/BB1.79,K/97.01,BB/93.92,HR/90.82,GO/AO1.32,援護率-,IPR2.43,NHB%42.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.67,77.6%,-1.77,-0.20,-2.25,341,7.0,0,0,43.2,18,23,44,
