防御率1.51,試合6,先発6,救援0,連投(試)0,連投(日)0,勝利3,敗戦1,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.750,35.2,146,558,15.6,18,0,34,23,0,1,1,0,6,6,1.15,83.3%
