HQS率16.7%,SQS率16.7%,被打率.153,被BABIP.209,被出塁率.292,被長打率.178,K/BB1.48,K/98.58,BB/95.80,HR/90.00,GO/AO1.19,援護率3.89,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.85,85.7%,7.26,0.84,6.05,137,0.0,37,16,0.0,0,0,0,
