球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,262,46.6%,145.9,21,54,47,79,46.6%,16.3%,.300,70,21,2,12,4,1
チェンジアップ,217,38.6%,133.4,41,27,35,74,47.5%,35.3%,.211,57,12,0,17,3,0
カットボール,60,10.7%,133.8,6,9,9,27,40.0%,25.0%,.083,12,1,0,3,1,0
スライダー,22,3.9%,131.9,1,4,2,12,31.8%,16.7%,.250,4,1,0,1,0,0
ナックルカーブ,1,0.2%,124.0,0,1,0,0,100.0%,-%,-,0,0,0,0,0,0
