NOI238.1,GPA.127,RC0.47,RC270.42,XR0.58,XR270.52,RCAA-3.07,XR+-3.01,RCWIN-0.36,XRWIN-0.35,BABIP.231
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.000,-,4.00,0.029,-,0.029,0.241,-,25.0%,
