球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,686,37.7%,147.2,74,106,145,259,47.4%,23.1%,.319,144,46,6,44,16,3
スライダー,260,14.3%,128.9,57,25,38,92,46.2%,39.9%,.254,71,18,4,23,3,0
フォーク,189,10.4%,135.4,45,12,25,73,43.4%,43.3%,.268,56,15,3,22,4,0
チェンジアップ,161,8.8%,131.6,57,5,26,55,54.7%,56.4%,.154,39,6,0,21,3,0
カットボール,156,8.6%,136.5,22,14,31,58,42.9%,26.2%,.316,38,12,2,8,4,1
カーブ,140,7.7%,116.1,18,22,23,59,45.0%,30.5%,.179,28,5,0,10,1,1
ツーシーム,93,5.1%,141.4,12,7,24,28,46.2%,20.7%,.360,25,9,1,3,0,0
ナックルカーブ,40,2.2%,126.4,7,12,1,17,50.0%,63.6%,.333,6,2,0,3,1,0
スプリット,40,2.2%,140.6,11,3,6,13,50.0%,45.8%,.077,13,1,1,6,1,0
シュート,19,1.0%,142.0,0,0,4,11,21.1%,0.0%,.250,4,1,0,0,0,0
シンカー,16,0.9%,131.9,4,2,4,4,62.5%,40.0%,.000,3,0,0,1,0,0
縦スライダー,14,0.8%,126.2,3,3,3,4,64.3%,42.9%,.000,2,0,0,1,1,0
スラーブ,2,0.1%,109.5,1,0,0,1,50.0%,100.0%,.000,1,0,0,1,0,0
パワーカーブ,2,0.1%,124.0,0,2,0,0,100.0%,-%,.000,1,0,0,1,0,0
ワンシーム,2,0.1%,148.0,0,0,0,2,0.0%,-%,-,0,0,0,0,0,0
スローカーブ,1,0.1%,87.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
