NOI0.0,GPA.000,RC-0.32,RC27-2.92,XR-0.29,XR27-2.65,RCAA-0.61,XR+-0.58,RCWIN-0.07,XRWIN-0.07,BABIP-
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.00,0.000,-,0.000,0.000,-,100.0%,
