条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,0,0,1,2,0,0,0,0,0,0,0,3
敗戦,5,3,1,6,3,11,0,1,0,0,0,0,30
勝敗無,3,1,2,1,0,1,2,0,0,0,0,0,10
