条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.267,229,210,56,7,2,6,35,15,0,3,1
対左打者,0.249,211,201,50,6,1,2,42,9,0,0,1
