NOI266.7,GPA.140,RC-0.60,RC27-2.72,XR-0.57,XR27-2.55,RCAA-1.10,XR+-1.06,RCWIN-0.13,XRWIN-0.12,BABIP.333
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,2.50,0.000,-,-0.200,0.000,-,40.0%,
