NOI73.8,GPA.042,RC-1.15,RC27-1.15,XR-0.68,XR27-0.68,RCAA-3.81,XR+-3.36,RCWIN-0.45,XRWIN-0.40,BABIP.077
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,-0.002,-,2.80,0.045,-,0.045,0.095,-,35.7%,
