アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,16,11.5%,安打,26,53.1%
フライ,48,34.5%,四死球,22,44.9%
空三振,59,42.4%,失策出塁,1,2.0%
見三振,10,7.2%,野選,0,0.0%
犠打,6,4.3%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
