HQS率-,SQS率-,被打率.165,被BABIP.270,被出塁率.264,被長打率.234,K/BB3.45,K/913.31,BB/93.86,HR/90.39,GO/AO0.33,援護率-,IPR4.24,NHB%44.9%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.75,81.9%,6.34,0.73,6.76,460,10.2,0,0,46.2,11,22,38,
