条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.151,96,86,13,3,0,1,24,7,2,1,0
対左打者,0.24,84,75,18,2,0,0,13,7,0,1,1
