HQS率-,SQS率-,被打率.193,被BABIP.242,被出塁率.264,被長打率.242,K/BB2.64,K/97.14,BB/92.70,HR/90.19,GO/AO1.35,援護率-,IPR6.67,NHB%40.4%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.46,87.7%,10.34,1.20,8.76,320,5.2,0,0,46.2,7,19,40,
