防御率1.35,試合47,先発0,救援47,連投(試)0,連投(日)0,勝利1,敗戦2,HLD14,Ｓ3,ＨＰ15,ＳＰ4,救勝1,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,46.2,180,663,14.2,31,1,37,14,0,2,1,0,7,7,0.96,-
