NOI266.7,GPA.140,RC0.11,RC270.77,XR0.13,XR270.89,RCAA-0.38,XR+-0.37,RCWIN-0.04,XRWIN-0.04,BABIP.250
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,5.00,0.000,-,0.000,0.250,-,20.0%,
