打率.251,試合113,打席389,打数355,得点30,安打89,内安11,内安率12.4,２Ｂ19,３Ｂ0,本塁4,HR勝敗3-1-0,塁打120,打点28,三振70
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
14,0,1,17,2,5,3,62.5,5,0,5,.213,.280,.338,.618
