HQS率0.0%,SQS率0.0%,被打率.211,被BABIP.286,被出塁率.250,被長打率.211,K/BB5.00,K/99.00,BB/91.80,HR/90.00,GO/AO0.67,援護率3.60,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
1.34,80.0%,0.86,0.10,0.69,15,0.0,5,2,0.0,0,0,0,
