打率.282,試合104,打席368,打数344,得点43,安打97,内安11,内安率11.3,２Ｂ21,３Ｂ3,本塁9,HR勝敗7-2-0,塁打151,打点33,三振48
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,1,3,3,1,2,6,25.0,1,0,2,.286,.321,.439,.760
