条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右投手,0.286,210,196,56,11,1,5,34,10,2,2,0
対左投手,0.277,158,148,41,10,2,4,14,7,1,1,1
