NOI466.9,GPA.254,RC46.91,RC274.89,XR45.49,XR274.74,RCAA11.94,XR+10.32,RCWIN1.41,XRWIN1.22,BABIP.306
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.35,0.039,21.65,7.67,0.157,38.22,0.195,0.655,3.27,20.1%,
