HQS率-,SQS率-,被打率.238,被BABIP.297,被出塁率.325,被長打率.426,K/BB2.91,K/910.54,BB/93.62,HR/91.65,GO/AO0.55,援護率-,IPR1.95,NHB%28.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.20,76.7%,-3.84,-0.44,-3.77,142,9.0,0,0,27.1,14,8,19,
